City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
222,Sainte-Suzanne,RE,-20.9061,55.6089,68.18,68,0,14.97,clear sky
223,Porto Novo,BJ,6.4965,2.6036,78.62,87,45,5.08,scattered clouds
224,Mnogovershinnyy,RU,53.9353,139.9242,56.25,75,99,2.3,overcast clouds
225,Ballina,AU,-28.8667,153.5667,64.78,83,63,12.1,broken clouds
226,Paamiut,GL,61.994,-49.6678,47.34,90,100,3.4,overcast clouds
227,Vanimo,PG,-2.6741,141.3028,78.04,88,29,4.94,light rain
228,Bairnsdale,AU,-37.8333,147.6167,43.07,78,3,1.99,clear sky
229,Yatou,CN,37.15,122.3833,73.94,88,0,2.39,light rain
230,Longyearbyen,SJ,78.2186,15.6401,44.44,76,75,13.8,light rain
231,Truckee,US,39.328,-120.1833,88.09,30,40,5.75,scattered clouds
232,Vila,PT,42.0304,-8.1588,55.74,93,100,1.54,overcast clouds
233,San Cristobal,VE,7.7669,-72.225,78.98,89,76,6.13,broken clouds
234,Kudahuvadhoo,MV,2.6708,72.8944,82.22,72,100,6.96,overcast clouds
235,Cortez,US,37.3489,-108.5859,87.51,45,40,11.5,thunderstorm
236,Puerto Carreno,CO,6.189,-67.4859,76.77,83,99,4.97,overcast clouds
237,Salalah,OM,17.0151,54.0924,77.09,94,90,5.75,overcast clouds
238,Anadyr,RU,64.75,177.4833,48.7,76,40,6.71,light rain
239,Port Alfred,ZA,-33.5906,26.891,60.84,83,36,25.93,scattered clouds
240,Lebu,CL,-37.6167,-73.65,50.88,75,37,19.08,scattered clouds
241,Egvekinot,RU,66.3167,-179.1667,42.87,62,53,1.57,broken clouds
242,Vernon,CA,50.2581,-119.2691,77.76,68,100,1.14,light rain
243,Davila,PH,18.4726,120.5763,81.18,88,100,24.85,overcast clouds
244,Whitehorse,CA,60.7161,-135.0538,83.17,24,20,3.44,few clouds
245,Manggar,ID,-2.8833,108.2667,80.6,75,76,9.73,broken clouds
246,Carutapera,BR,-1.195,-46.02,75.06,88,76,2.21,broken clouds
247,Oktyabrskoye,RU,43.0645,44.7417,64.54,88,73,6.71,broken clouds
248,Sorong,ID,-0.8833,131.25,78.37,89,30,10.0,light rain
249,Sao Borja,BR,-28.6606,-56.0044,57.36,68,0,5.75,clear sky
250,Mersing,MY,2.4312,103.8405,75.11,94,52,3.44,broken clouds
251,Vardo,NO,70.3705,31.1107,55.6,96,100,8.7,overcast clouds
252,Humberto De Campos,BR,-2.5983,-43.4611,76.41,79,94,5.48,overcast clouds
253,San Quintin,MX,30.4833,-115.95,78.31,58,3,15.68,clear sky
254,Nouakchott,MR,18.0858,-15.9785,78.73,83,92,12.39,overcast clouds
255,Constantine,DZ,36.365,6.6147,72.81,78,0,10.36,clear sky
256,Payo,ID,-3.7508,103.6372,70.61,97,92,1.88,overcast clouds
257,Nefteyugansk,RU,61.0998,72.6035,59.25,96,100,11.92,light rain
258,Divnoye,RU,45.9089,43.3547,79.86,40,1,6.85,clear sky
259,Naze,JP,28.3667,129.4833,81.52,86,89,12.93,overcast clouds
260,Nizwa,OM,22.9333,57.5333,87.8,47,100,3.51,overcast clouds
261,Leshan,CN,29.5623,103.7639,73.22,82,0,1.45,clear sky
262,Katsuura,JP,35.1333,140.3,85.1,78,3,5.26,clear sky
263,Sinop,TR,41.7711,34.8709,65.05,74,0,4.18,clear sky
264,Hobyo,SO,5.3505,48.5268,77.4,80,6,22.7,clear sky
265,Carahue,CL,-38.7,-73.1667,53.8,80,12,2.53,few clouds
266,Oranjemund,NA,-28.55,16.4333,56.89,75,2,7.76,clear sky
267,Novo Aripuana,BR,-5.1206,-60.3797,85.87,37,61,1.01,broken clouds
268,Agirish,RU,61.9247,63.0231,54.07,96,67,6.76,broken clouds
269,Olinda,BR,-8.0089,-34.8553,76.73,73,75,17.27,broken clouds
270,Wladyslawowo,PL,54.7909,18.4009,63.93,89,100,10.13,overcast clouds
271,Mount Isa,AU,-20.7333,139.5,64.17,52,15,0.0,few clouds
272,Las Cruces,US,32.3123,-106.7783,95.0,33,1,1.01,clear sky
273,Muncar,ID,-8.4333,114.3333,73.85,89,42,1.36,scattered clouds
274,Lakatoro,VU,-16.0999,167.4164,73.22,60,45,8.3,scattered clouds
275,Mulege,MX,26.8833,-111.9833,96.01,46,8,12.12,clear sky
276,Faya,SA,18.3851,42.4509,66.31,67,97,2.91,overcast clouds
277,Kalino,RU,58.2504,57.6085,56.03,95,98,3.38,overcast clouds
278,Bridlington,GB,54.0831,-0.1919,55.85,74,6,11.32,clear sky
279,Ust-Barguzin,RU,53.45,108.9833,54.84,90,33,3.6,scattered clouds
280,Itoigawa,JP,37.0333,137.85,82.44,74,88,2.21,overcast clouds
281,Grand Gaube,MU,-20.0064,57.6608,67.37,82,23,1.01,light rain
282,Abu Zabad,SD,12.35,29.25,74.01,75,95,10.25,overcast clouds
283,Hukuntsi,BW,-24.0,21.75,50.77,35,0,6.69,clear sky
284,Makakilo City,US,21.3469,-158.0858,88.12,46,20,13.8,few clouds
285,Villa Bisono,DO,19.5638,-70.8758,89.1,62,100,11.99,overcast clouds
286,Ixtapa,MX,20.7,-105.2,90.23,66,20,10.36,few clouds
287,Poum,NC,-20.2333,164.0167,68.9,57,2,13.31,clear sky
288,Sfantu Gheorghe,RO,45.8667,25.7833,75.27,76,3,2.8,clear sky
289,Jiwani,PK,25.05,61.7417,81.7,87,99,15.12,overcast clouds
290,Trebinje,BA,42.7119,18.3442,82.76,30,0,10.36,clear sky
291,Terme,TR,41.2092,36.9739,69.73,78,0,6.13,clear sky
292,Adrar,MR,20.5022,-10.0711,95.02,25,29,8.43,scattered clouds
293,Batticaloa,LK,7.7102,81.6924,80.92,72,100,5.93,overcast clouds
294,Eureka,US,40.8021,-124.1637,85.68,71,58,8.99,broken clouds
295,Gushikawa,JP,26.3544,127.8686,81.99,83,40,11.5,scattered clouds
296,Udachnyy,RU,66.4167,112.4,70.16,42,30,4.21,scattered clouds
297,Dosso,NE,13.049,3.1937,83.75,62,90,13.85,overcast clouds
298,Calamar,CO,10.2511,-74.9146,89.55,73,98,10.8,overcast clouds
299,Constanza,DE,47.6603,9.1758,59.32,91,95,3.24,overcast clouds
300,Richards Bay,ZA,-28.783,32.0377,62.6,60,4,4.18,clear sky
301,Bonfim,BR,3.0833,-59.95,77.09,85,89,5.32,overcast clouds
302,Nago,JP,26.5881,127.9761,82.83,89,97,12.06,overcast clouds
303,Mehamn,NO,71.0357,27.8492,44.96,95,100,19.57,overcast clouds
304,Ayame,CI,5.6083,-3.1563,72.9,92,12,2.46,few clouds
305,Camacari,BR,-12.6975,-38.3242,74.97,83,20,8.19,few clouds
306,Ostrovnoy,RU,68.0531,39.5131,48.79,90,17,8.3,few clouds
307,Bilibino,RU,68.0546,166.4372,43.47,53,73,6.82,broken clouds
